content_id,title,description,tags,level,duration
11,سرعة الاستجابة,درس يهدف إلى تنمية مهارة سرعة الاستجابة لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,5
12,التفكير النقدي,درس يهدف إلى تنمية مهارة التفكير النقدي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,18
13,مهارات الحساب,درس يهدف إلى تنمية مهارة مهارات الحساب لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,14
14,تطوير المفردات,درس يهدف إلى تنمية مهارة تطوير المفردات لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,13
15,الاستدلال,درس يهدف إلى تنمية مهارة الاستدلال لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,12
16,حل المتاهات,درس يهدف إلى تنمية مهارة حل المتاهات لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,9
17,الألغاز الذهنية,درس يهدف إلى تنمية مهارة الألغاز الذهنية لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,19
18,مهارات القراءة,درس يهدف إلى تنمية مهارة مهارات القراءة لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,6
19,تنظيم الأفكار,درس يهدف إلى تنمية مهارة تنظيم الأفكار لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,11
20,المرونة العقلية,درس يهدف إلى تنمية مهارة المرونة العقلية لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,18
21,التحليل المقارن,درس يهدف إلى تنمية مهارة التحليل المقارن لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,6
22,التنبؤ,درس يهدف إلى تنمية مهارة التنبؤ لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,17
23,التصنيف,درس يهدف إلى تنمية مهارة التصنيف لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,15
24,التفكير التجريدي,درس يهدف إلى تنمية مهارة التفكير التجريدي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,6
25,تذكر التفاصيل,درس يهدف إلى تنمية مهارة تذكر التفاصيل لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,18
26,الاتساق البصري,درس يهدف إلى تنمية مهارة الاتساق البصري لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,16
27,الربط بين المعلومات,درس يهدف إلى تنمية مهارة الربط بين المعلومات لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,9
28,مهارات اتخاذ القرار,درس يهدف إلى تنمية مهارة مهارات اتخاذ القرار لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,7
29,التصور العقلي,درس يهدف إلى تنمية مهارة التصور العقلي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,12
30,ابتكار الحلول,درس يهدف إلى تنمية مهارة ابتكار الحلول لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,18
