content_id,title,description,category,level,duration,difficulty,rating
60,Computer Vision Basics,Beginner-friendly course covering core concepts and practical applications.,Artificial Intelligence,Beginner,73,3,2.98
61,Introduction to Cyber Security,Beginner-friendly course covering core concepts and practical applications.,Data Science,Beginner,156,1,3.98
62,Python for Beginners,Build projects and gain practical experience.,Software Engineering,Advanced,162,1,4.35
63,Machine Learning A-Z,Hands-on training with real datasets and real-world scenarios.,Data Science,Beginner,67,2,3.6
64,Introduction to Cyber Security,Comprehensive guide to mastering modern technologies with hands-on examples.,Programming,Intermediate,167,1,4.38
65,Computer Vision Basics,Master advanced techniques and industry best practices.,Web Development,Beginner,182,1,3.26
66,SQL for Data Science,Perfect for beginners looking to start their journey.,Web Development,Beginner,120,3,4.27
67,Mobile App Development with Flutter,Comprehensive guide to mastering modern technologies with hands-on examples.,Business Analytics,Beginner,79,3,3.15
68,"Web Development with HTML, CSS & JavaScript",Hands-on training with real datasets and real-world scenarios.,Programming,Beginner,117,3,4.45
69,Power BI for Data Analysis,Understand concepts and apply them to real-life problems.,Software Engineering,Intermediate,181,2,4.58
70,Artificial Intelligence Fundamentals,Build projects and gain practical experience.,Cloud Computing,Intermediate,119,1,4.49
71,Machine Learning A-Z,Learn the fundamentals and build real-world projects step by step.,Artificial Intelligence,Beginner,118,2,3.04
72,Natural Language Processing with Python,Learn the fundamentals and build real-world projects step by step.,Programming,Beginner,92,1,4.24
73,SQL for Data Science,Understand concepts and apply them to real-life problems.,Programming,Advanced,138,1,3.85
74,Power BI for Data Analysis,Learn the fundamentals and build real-world projects step by step.,Data Science,Beginner,147,3,4.97
75,Deep Learning with TensorFlow,Understand concepts and apply them to real-life problems.,Software Engineering,Beginner,159,1,3.4
76,Advanced Excel for Business,Understand concepts and apply them to real-life problems.,Cyber Security,Intermediate,107,2,4.43
77,Introduction to Cyber Security,Learn the fundamentals and build real-world projects step by step.,Programming,Beginner,124,3,3.43
78,"Web Development with HTML, CSS & JavaScript",Advanced course for professionals aiming to upgrade their skills.,Programming,Advanced,38,2,3.49
79,Full Stack Web Development,Beginner-friendly course covering core concepts and practical applications.,Web Development,Intermediate,99,2,2.78
80,Python for Beginners,Beginner-friendly course covering core concepts and practical applications.,Programming,Beginner,45,3,3.1
81,Cloud Computing with AWS,Learn the fundamentals and build real-world projects step by step.,Cyber Security,Beginner,170,1,2.91
82,Artificial Intelligence Fundamentals,Build projects and gain practical experience.,Artificial Intelligence,Intermediate,140,2,2.9
83,Mobile App Development with Flutter,Beginner-friendly course covering core concepts and practical applications.,Web Development,Beginner,52,1,2.52
84,Machine Learning A-Z,Perfect for beginners looking to start their journey.,Cloud Computing,Advanced,125,3,4.48
85,Cloud Computing with AWS,Build projects and gain practical experience.,Cyber Security,Intermediate,49,1,3.67
86,SQL for Data Science,Perfect for beginners looking to start their journey.,Business Analytics,Beginner,170,1,4.51
87,Data Science Bootcamp,Comprehensive guide to mastering modern technologies with hands-on examples.,Artificial Intelligence,Intermediate,145,3,4.03
88,Mobile App Development with Flutter,Learn the fundamentals and build real-world projects step by step.,Cloud Computing,Beginner,55,1,4.58
89,Natural Language Processing with Python,Understand concepts and apply them to real-life problems.,Artificial Intelligence,Beginner,144,2,3.76
90,Power BI for Data Analysis,Understand concepts and apply them to real-life problems.,Cyber Security,Intermediate,143,2,2.74
91,Introduction to Cyber Security,Master advanced techniques and industry best practices.,Cloud Computing,Intermediate,190,2,4.04
92,Power BI for Data Analysis,Master advanced techniques and industry best practices.,Cyber Security,Intermediate,137,1,4.19
93,Artificial Intelligence Fundamentals,Build projects and gain practical experience.,Web Development,Beginner,142,2,4.07
94,Machine Learning A-Z,Step-by-step guide to becoming a professional in this field.,Software Engineering,Intermediate,56,1,4.5
95,Data Science Bootcamp,Beginner-friendly course covering core concepts and practical applications.,Artificial Intelligence,Beginner,80,1,4.33
96,Natural Language Processing with Python,Hands-on training with real datasets and real-world scenarios.,Data Science,Intermediate,115,1,3.58
97,Data Science Bootcamp,Comprehensive guide to mastering modern technologies with hands-on examples.,Programming,Intermediate,139,1,4.55
98,Deep Learning with TensorFlow,Beginner-friendly course covering core concepts and practical applications.,Cyber Security,Intermediate,31,3,4.23
99,Deep Learning with TensorFlow,Understand concepts and apply them to real-life problems.,Cloud Computing,Advanced,141,2,2.8
100,Power BI for Data Analysis,Understand concepts and apply them to real-life problems.,Programming,Advanced,54,2,3.85
101,Machine Learning A-Z,Perfect for beginners looking to start their journey.,Artificial Intelligence,Advanced,86,1,4.32
102,Natural Language Processing with Python,Perfect for beginners looking to start their journey.,Programming,Advanced,57,3,3.88
103,Mobile App Development with Flutter,Understand concepts and apply them to real-life problems.,Software Engineering,Intermediate,43,1,4.87
104,"Web Development with HTML, CSS & JavaScript",Build projects and gain practical experience.,Programming,Advanced,100,2,2.75
105,Introduction to Cyber Security,Perfect for beginners looking to start their journey.,Cloud Computing,Advanced,187,2,4.31
106,Introduction to Cyber Security,Advanced course for professionals aiming to upgrade their skills.,Cyber Security,Intermediate,91,3,4.56
107,Introduction to Cyber Security,Hands-on training with real datasets and real-world scenarios.,Data Science,Beginner,98,1,4.26
108,Machine Learning A-Z,Master advanced techniques and industry best practices.,Software Engineering,Beginner,133,3,3.46
109,Power BI for Data Analysis,Understand concepts and apply them to real-life problems.,Artificial Intelligence,Intermediate,64,1,3.46
110,Artificial Intelligence Fundamentals,Advanced course for professionals aiming to upgrade their skills.,Artificial Intelligence,Beginner,144,3,3.97
111,Mobile App Development with Flutter,Master advanced techniques and industry best practices.,Web Development,Intermediate,115,2,3.49
112,Deep Learning with TensorFlow,Comprehensive guide to mastering modern technologies with hands-on examples.,Web Development,Beginner,32,3,4.71
113,Full Stack Web Development,Comprehensive guide to mastering modern technologies with hands-on examples.,Web Development,Beginner,129,2,2.77
114,Advanced Excel for Business,Step-by-step guide to becoming a professional in this field.,Business Analytics,Intermediate,25,2,4.1
115,Artificial Intelligence Fundamentals,Advanced course for professionals aiming to upgrade their skills.,Web Development,Advanced,116,1,2.84
116,Natural Language Processing with Python,Hands-on training with real datasets and real-world scenarios.,Web Development,Beginner,90,3,3.85
117,Power BI for Data Analysis,Learn the fundamentals and build real-world projects step by step.,Programming,Advanced,66,3,4.29
118,Python for Beginners,Master advanced techniques and industry best practices.,Cyber Security,Intermediate,112,3,2.91
119,Machine Learning A-Z,Understand concepts and apply them to real-life problems.,Cyber Security,Beginner,120,3,4.26
120,SQL for Data Science,Build projects and gain practical experience.,Business Analytics,Beginner,63,1,2.85
121,Python for Beginners,Beginner-friendly course covering core concepts and practical applications.,Business Analytics,Beginner,51,1,4.05
122,Mobile App Development with Flutter,Comprehensive guide to mastering modern technologies with hands-on examples.,Data Science,Beginner,22,1,3.76
123,"Web Development with HTML, CSS & JavaScript",Learn the fundamentals and build real-world projects step by step.,Web Development,Beginner,103,2,3.25
124,Mobile App Development with Flutter,Master advanced techniques and industry best practices.,Cloud Computing,Beginner,185,2,2.78
125,Artificial Intelligence Fundamentals,Perfect for beginners looking to start their journey.,Programming,Beginner,23,2,4.34
126,Data Science Bootcamp,Understand concepts and apply them to real-life problems.,Software Engineering,Intermediate,164,1,3.45
127,Mobile App Development with Flutter,Beginner-friendly course covering core concepts and practical applications.,Artificial Intelligence,Intermediate,184,2,2.72
128,Deep Learning with TensorFlow,Beginner-friendly course covering core concepts and practical applications.,Data Science,Intermediate,107,3,4.43
129,"Web Development with HTML, CSS & JavaScript",Hands-on training with real datasets and real-world scenarios.,Business Analytics,Beginner,125,2,3.08
130,Cloud Computing with AWS,Beginner-friendly course covering core concepts and practical applications.,Cloud Computing,Intermediate,124,1,4.34
131,"Web Development with HTML, CSS & JavaScript",Step-by-step guide to becoming a professional in this field.,Cloud Computing,Advanced,55,1,3.91
132,Cloud Computing with AWS,Advanced course for professionals aiming to upgrade their skills.,Software Engineering,Intermediate,77,1,2.99
133,SQL for Data Science,Master advanced techniques and industry best practices.,Artificial Intelligence,Advanced,188,1,2.69
134,Computer Vision Basics,Advanced course for professionals aiming to upgrade their skills.,Programming,Intermediate,27,3,3.98
135,Python for Beginners,Understand concepts and apply them to real-life problems.,Cloud Computing,Intermediate,177,2,2.56
136,Machine Learning A-Z,Comprehensive guide to mastering modern technologies with hands-on examples.,Cyber Security,Intermediate,105,2,2.66
137,Full Stack Web Development,Hands-on training with real datasets and real-world scenarios.,Artificial Intelligence,Beginner,199,1,4.26
138,Introduction to Cyber Security,Step-by-step guide to becoming a professional in this field.,Data Science,Beginner,116,2,3.85
139,Full Stack Web Development,Step-by-step guide to becoming a professional in this field.,Cyber Security,Beginner,172,3,3.32
140,Natural Language Processing with Python,Perfect for beginners looking to start their journey.,Artificial Intelligence,Beginner,199,1,3.85
141,Data Science Bootcamp,Advanced course for professionals aiming to upgrade their skills.,Cyber Security,Beginner,78,2,3.98
142,Machine Learning A-Z,Understand concepts and apply them to real-life problems.,Cloud Computing,Advanced,49,2,3.91
143,Python for Beginners,Understand concepts and apply them to real-life problems.,Web Development,Beginner,120,2,4.11
144,SQL for Data Science,Learn the fundamentals and build real-world projects step by step.,Web Development,Advanced,86,2,4.85
145,Cloud Computing with AWS,Understand concepts and apply them to real-life problems.,Cloud Computing,Intermediate,151,1,3.47
146,Advanced Excel for Business,Learn the fundamentals and build real-world projects step by step.,Software Engineering,Beginner,112,1,3.25
147,Deep Learning with TensorFlow,Beginner-friendly course covering core concepts and practical applications.,Business Analytics,Beginner,82,3,2.6
148,Computer Vision Basics,Step-by-step guide to becoming a professional in this field.,Data Science,Beginner,51,1,2.87
149,Mobile App Development with Flutter,Understand concepts and apply them to real-life problems.,Programming,Advanced,106,2,2.77
150,Power BI for Data Analysis,Build projects and gain practical experience.,Cloud Computing,Intermediate,70,2,3.34
151,Introduction to Cyber Security,Understand concepts and apply them to real-life problems.,Cyber Security,Beginner,82,2,4.02
152,Mobile App Development with Flutter,Advanced course for professionals aiming to upgrade their skills.,Business Analytics,Advanced,99,3,2.62
153,Python for Beginners,Step-by-step guide to becoming a professional in this field.,Data Science,Intermediate,106,1,4.32
154,Data Science Bootcamp,Understand concepts and apply them to real-life problems.,Business Analytics,Beginner,129,1,3.49
155,"Web Development with HTML, CSS & JavaScript",Learn the fundamentals and build real-world projects step by step.,Web Development,Intermediate,120,1,4.91
156,Advanced Excel for Business,Perfect for beginners looking to start their journey.,Artificial Intelligence,Intermediate,148,2,3.92
157,Python for Beginners,Beginner-friendly course covering core concepts and practical applications.,Cyber Security,Beginner,38,2,4.43
158,"Web Development with HTML, CSS & JavaScript",Beginner-friendly course covering core concepts and practical applications.,Cloud Computing,Intermediate,120,2,4.65
159,Advanced Excel for Business,Master advanced techniques and industry best practices.,Artificial Intelligence,Beginner,182,3,4.72
160,SQL for Data Science,Understand concepts and apply them to real-life problems.,Artificial Intelligence,Beginner,113,3,3.8
161,Introduction to Cyber Security,Build projects and gain practical experience.,Cloud Computing,Beginner,100,2,3.49
162,Deep Learning with TensorFlow,Build projects and gain practical experience.,Programming,Advanced,122,3,3.9
163,Python for Beginners,Master advanced techniques and industry best practices.,Cloud Computing,Intermediate,132,3,3.51
164,SQL for Data Science,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Beginner,173,3,3.1
165,Power BI for Data Analysis,Beginner-friendly course covering core concepts and practical applications.,Data Science,Beginner,32,1,3.31
166,SQL for Data Science,Beginner-friendly course covering core concepts and practical applications.,Programming,Beginner,137,3,3.08
167,Computer Vision Basics,Hands-on training with real datasets and real-world scenarios.,Web Development,Intermediate,105,2,3.17
168,Computer Vision Basics,Build projects and gain practical experience.,Cyber Security,Beginner,42,1,2.73
169,"Web Development with HTML, CSS & JavaScript",Comprehensive guide to mastering modern technologies with hands-on examples.,Programming,Intermediate,126,3,3.57
170,Power BI for Data Analysis,Comprehensive guide to mastering modern technologies with hands-on examples.,Web Development,Advanced,182,2,3.09
171,Deep Learning with TensorFlow,Beginner-friendly course covering core concepts and practical applications.,Cloud Computing,Intermediate,31,3,3.62
172,Cloud Computing with AWS,Beginner-friendly course covering core concepts and practical applications.,Programming,Beginner,156,2,4.48
173,Mobile App Development with Flutter,Step-by-step guide to becoming a professional in this field.,Cloud Computing,Beginner,97,2,3.62
174,SQL for Data Science,Step-by-step guide to becoming a professional in this field.,Data Science,Beginner,86,3,4.89
175,Mobile App Development with Flutter,Advanced course for professionals aiming to upgrade their skills.,Artificial Intelligence,Intermediate,127,3,2.87
176,Introduction to Cyber Security,Beginner-friendly course covering core concepts and practical applications.,Web Development,Intermediate,63,1,4.63
177,Artificial Intelligence Fundamentals,Learn the fundamentals and build real-world projects step by step.,Web Development,Intermediate,168,3,3.12
178,SQL for Data Science,Learn the fundamentals and build real-world projects step by step.,Cyber Security,Beginner,26,2,4.83
179,"Web Development with HTML, CSS & JavaScript",Advanced course for professionals aiming to upgrade their skills.,Cyber Security,Advanced,147,1,3.07
180,Artificial Intelligence Fundamentals,Beginner-friendly course covering core concepts and practical applications.,Web Development,Beginner,116,2,4.37
181,Machine Learning A-Z,Advanced course for professionals aiming to upgrade their skills.,Software Engineering,Beginner,30,2,2.66
182,Computer Vision Basics,Learn the fundamentals and build real-world projects step by step.,Software Engineering,Intermediate,192,3,4.07
183,Computer Vision Basics,Step-by-step guide to becoming a professional in this field.,Cloud Computing,Beginner,179,2,3.05
184,Natural Language Processing with Python,Comprehensive guide to mastering modern technologies with hands-on examples.,Software Engineering,Intermediate,125,3,4.18
185,Advanced Excel for Business,Perfect for beginners looking to start their journey.,Cloud Computing,Intermediate,102,2,4.09
186,Machine Learning A-Z,Build projects and gain practical experience.,Cyber Security,Intermediate,55,1,4.81
187,Deep Learning with TensorFlow,Advanced course for professionals aiming to upgrade their skills.,Data Science,Beginner,137,3,4.07
188,Introduction to Cyber Security,Learn the fundamentals and build real-world projects step by step.,Business Analytics,Beginner,184,1,3.52
189,Artificial Intelligence Fundamentals,Master advanced techniques and industry best practices.,Data Science,Beginner,60,3,2.98
190,Advanced Excel for Business,Advanced course for professionals aiming to upgrade their skills.,Business Analytics,Beginner,111,1,4.14
191,Python for Beginners,Build projects and gain practical experience.,Software Engineering,Advanced,68,3,2.79
192,Natural Language Processing with Python,Hands-on training with real datasets and real-world scenarios.,Web Development,Intermediate,162,1,4.57
193,Cloud Computing with AWS,Build projects and gain practical experience.,Artificial Intelligence,Beginner,160,1,3.12
194,SQL for Data Science,Hands-on training with real datasets and real-world scenarios.,Web Development,Advanced,72,3,3.81
195,Introduction to Cyber Security,Advanced course for professionals aiming to upgrade their skills.,Business Analytics,Intermediate,126,3,3.99
196,Artificial Intelligence Fundamentals,Hands-on training with real datasets and real-world scenarios.,Artificial Intelligence,Beginner,52,2,3.41
197,Python for Beginners,Master advanced techniques and industry best practices.,Cyber Security,Beginner,138,2,4.16
198,Cloud Computing with AWS,Advanced course for professionals aiming to upgrade their skills.,Web Development,Beginner,51,3,3.13
199,Introduction to Cyber Security,Beginner-friendly course covering core concepts and practical applications.,Web Development,Advanced,137,3,2.59
200,Data Science Bootcamp,Learn the fundamentals and build real-world projects step by step.,Programming,Intermediate,195,1,4.9
201,Machine Learning A-Z,Hands-on training with real datasets and real-world scenarios.,Cloud Computing,Advanced,81,1,3.3
202,Full Stack Web Development,Comprehensive guide to mastering modern technologies with hands-on examples.,Software Engineering,Beginner,101,2,4.28
203,Full Stack Web Development,Master advanced techniques and industry best practices.,Cloud Computing,Advanced,149,2,3.77
204,"Web Development with HTML, CSS & JavaScript",Hands-on training with real datasets and real-world scenarios.,Cloud Computing,Beginner,96,2,4.17
205,Data Science Bootcamp,Master advanced techniques and industry best practices.,Programming,Advanced,35,1,2.78
206,Data Science Bootcamp,Learn the fundamentals and build real-world projects step by step.,Artificial Intelligence,Advanced,142,1,3.8
207,Python for Beginners,Master advanced techniques and industry best practices.,Data Science,Beginner,27,1,3.48
208,SQL for Data Science,Build projects and gain practical experience.,Programming,Intermediate,166,2,3.63
209,Machine Learning A-Z,Master advanced techniques and industry best practices.,Software Engineering,Intermediate,179,3,4.92
210,Data Science Bootcamp,Comprehensive guide to mastering modern technologies with hands-on examples.,Cyber Security,Advanced,86,2,2.84
211,Natural Language Processing with Python,Build projects and gain practical experience.,Cyber Security,Beginner,134,1,4.39
212,"Web Development with HTML, CSS & JavaScript",Master advanced techniques and industry best practices.,Programming,Beginner,132,2,3.33
213,Power BI for Data Analysis,Step-by-step guide to becoming a professional in this field.,Cyber Security,Advanced,51,2,3.23
214,Advanced Excel for Business,Master advanced techniques and industry best practices.,Data Science,Intermediate,124,2,3.18
215,Natural Language Processing with Python,Hands-on training with real datasets and real-world scenarios.,Cyber Security,Beginner,44,2,3.37
216,Data Science Bootcamp,Master advanced techniques and industry best practices.,Software Engineering,Intermediate,72,1,3.39
217,Advanced Excel for Business,Hands-on training with real datasets and real-world scenarios.,Cloud Computing,Beginner,100,2,3.18
218,Deep Learning with TensorFlow,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Intermediate,44,1,4.17
219,Deep Learning with TensorFlow,Hands-on training with real datasets and real-world scenarios.,Data Science,Beginner,52,2,2.62
220,Full Stack Web Development,Perfect for beginners looking to start their journey.,Web Development,Beginner,50,1,3.33
221,Machine Learning A-Z,Advanced course for professionals aiming to upgrade their skills.,Business Analytics,Beginner,55,3,3.2
222,Data Science Bootcamp,Advanced course for professionals aiming to upgrade their skills.,Artificial Intelligence,Beginner,106,1,4.38
223,Natural Language Processing with Python,Understand concepts and apply them to real-life problems.,Programming,Intermediate,142,1,2.87
224,Python for Beginners,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Intermediate,196,3,4.85
225,Advanced Excel for Business,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Beginner,63,3,2.93
226,Natural Language Processing with Python,Master advanced techniques and industry best practices.,Cloud Computing,Beginner,67,3,3.43
227,Deep Learning with TensorFlow,Beginner-friendly course covering core concepts and practical applications.,Cloud Computing,Intermediate,177,3,3.0
228,Power BI for Data Analysis,Hands-on training with real datasets and real-world scenarios.,Artificial Intelligence,Beginner,32,3,3.22
229,Advanced Excel for Business,Understand concepts and apply them to real-life problems.,Data Science,Intermediate,190,3,4.4
230,Deep Learning with TensorFlow,Advanced course for professionals aiming to upgrade their skills.,Web Development,Intermediate,163,2,3.69
231,Advanced Excel for Business,Beginner-friendly course covering core concepts and practical applications.,Cyber Security,Advanced,110,2,2.91
232,Full Stack Web Development,Build projects and gain practical experience.,Cloud Computing,Intermediate,173,3,2.62
233,Advanced Excel for Business,Step-by-step guide to becoming a professional in this field.,Programming,Beginner,194,1,3.07
234,Power BI for Data Analysis,Beginner-friendly course covering core concepts and practical applications.,Software Engineering,Intermediate,184,1,4.86
235,Deep Learning with TensorFlow,Beginner-friendly course covering core concepts and practical applications.,Software Engineering,Advanced,150,3,4.61
236,Full Stack Web Development,Perfect for beginners looking to start their journey.,Cyber Security,Beginner,173,2,3.6
237,Mobile App Development with Flutter,Advanced course for professionals aiming to upgrade their skills.,Data Science,Advanced,162,2,3.7
238,Advanced Excel for Business,Comprehensive guide to mastering modern technologies with hands-on examples.,Cyber Security,Intermediate,85,1,4.75
239,Power BI for Data Analysis,Learn the fundamentals and build real-world projects step by step.,Data Science,Beginner,47,3,3.98
240,Power BI for Data Analysis,Build projects and gain practical experience.,Data Science,Beginner,144,2,4.7
241,Power BI for Data Analysis,Master advanced techniques and industry best practices.,Programming,Intermediate,185,3,3.73
242,Cloud Computing with AWS,Step-by-step guide to becoming a professional in this field.,Cloud Computing,Beginner,191,3,3.0
243,SQL for Data Science,Learn the fundamentals and build real-world projects step by step.,Data Science,Beginner,99,1,4.31
244,Power BI for Data Analysis,Hands-on training with real datasets and real-world scenarios.,Artificial Intelligence,Beginner,151,3,3.82
245,Machine Learning A-Z,Learn the fundamentals and build real-world projects step by step.,Software Engineering,Beginner,91,3,4.17
246,Power BI for Data Analysis,Hands-on training with real datasets and real-world scenarios.,Programming,Beginner,63,1,2.89
247,Introduction to Cyber Security,Perfect for beginners looking to start their journey.,Artificial Intelligence,Intermediate,138,2,4.12
248,Deep Learning with TensorFlow,Perfect for beginners looking to start their journey.,Web Development,Beginner,65,3,3.46
249,Computer Vision Basics,Build projects and gain practical experience.,Software Engineering,Advanced,103,1,3.33
250,Deep Learning with TensorFlow,Build projects and gain practical experience.,Artificial Intelligence,Beginner,45,2,4.18
251,Machine Learning A-Z,Advanced course for professionals aiming to upgrade their skills.,Business Analytics,Beginner,115,3,3.98
252,Computer Vision Basics,Beginner-friendly course covering core concepts and practical applications.,Programming,Beginner,32,2,4.12
253,SQL for Data Science,Beginner-friendly course covering core concepts and practical applications.,Business Analytics,Beginner,144,1,4.91
254,Artificial Intelligence Fundamentals,Understand concepts and apply them to real-life problems.,Software Engineering,Beginner,88,3,4.25
255,Computer Vision Basics,Master advanced techniques and industry best practices.,Cloud Computing,Intermediate,191,1,4.1
256,Cloud Computing with AWS,Build projects and gain practical experience.,Cyber Security,Intermediate,70,1,4.03
257,Full Stack Web Development,Comprehensive guide to mastering modern technologies with hands-on examples.,Cloud Computing,Beginner,32,3,3.5
258,Advanced Excel for Business,Step-by-step guide to becoming a professional in this field.,Artificial Intelligence,Beginner,188,1,4.6
259,Cloud Computing with AWS,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Beginner,158,2,3.45
260,SQL for Data Science,Master advanced techniques and industry best practices.,Web Development,Intermediate,184,1,4.25
